gene_name	HG002	HG003	HG004	HG005	HG01106	HG01258	HG01928	HG02055	HG02630	HG03492	HG03579	NA19240	NA20129	NA21309	NA24694	NA24695	IHW09021	IHW09049	IHW09071	IHW09117	IHW09118	IHW09122	IHW09125	IHW09175	IHW09198	IHW09200	IHW09224	IHW09245	IHW09251	IHW09359	IHW09364	IHW09409
BAG6	351.79	270.37	120.04	116.32	249.18	252.17	207.89	201.1	130.87	197.5	62.82	108.45	295.85	197.81	217.48	116.99	170.82	339.95	109.08	483.92	87.32	530.2	360.46	193.38	233.38	341.74	398.88	47.13	197.82	510.5	60.47	262.31
APOM	321.42	210.04	99.24	106.59	195.17	219.14	172.05	162.86	108.66	173.05	54.48	78	244.61	171.4	196.16	104.6	157.36	278.15	98.59	404.8	77.17	468.26	350.36	116.58	226.67	305.12	357.09	33.84	151.83	428.92	30.22	193.74
C6orf47	313.35	243.16	109.7	127.81	229.91	206.03	180.2	189.04	121.19	193.94	66.15	95.44	292.9	187.79	202.09	102.8	197.63	346.81	114.55	476.18	93.24	538.61	388.92	149.28	238.42	343.81	439.57	59.75	222.18	543.86	54.1	268.72
GPANK1	368.34	267.92	110.62	125.38	243.36	245.45	180.43	175.85	126.75	214.48	71.86	91.03	293.57	195.17	238.22	110.34	179.7	412.22	123.27	540.16	109.33	586.02	473.65	220.94	248.84	382.79	488.2	68.93	226.2	536.75	81.81	296.67
CSNK2B	412.79	312.5	138.07	150.95	301.13	283.86	226.98	225.48	155.98	236.88	69.35	118.89	330.96	256.39	263.5	140.06	195.59	497.5	116.96	652.41	151.69	651.8	551.96	242.9	272.77	412.26	506.7	78.66	252.63	707.02	93.04	376.49
ENSG00000263020	392.66	291.21	137.26	135.77	299	270.28	231.11	230.93	148.47	195.43	66.76	127.91	307.93	246.07	254.75	143.3	182.25	421.1	104.7	585.05	129.01	551.74	483.53	208.74	245.69	368.8	418.88	65.59	220.49	635.18	78.6	326.81
LY6G5B	365.29	263.67	130.72	114.14	281.78	253.46	226.15	224.66	137.1	147.59	62.16	130.1	281.18	223.67	240.99	141.42	167.63	323.28	91.48	499.64	97.18	430.31	395.57	168.68	210.94	321.54	328.56	51.61	179.37	526.96	58.99	263.24
LY6G5C	337.51	252.63	118.06	111.81	239.71	219.76	188.55	175.32	130.31	183.43	54.54	102.31	262.94	196.06	210.49	114.64	175.2	317.16	86.31	486.72	99.78	506.93	336.79	208.3	263.66	283.13	375.6	63.47	181.98	490.99	57.67	233.62
ABHD16A	352.03	275.5	137.22	129.12	261.86	261.7	245.77	227.42	149.55	199.18	71.67	116.18	306.97	211.89	246.99	146.04	228.62	413.93	181.87	575.07	148.12	648.45	442.43	236.85	299.77	413.67	442.28	80.27	231.62	629.88	114.68	283.61
LY6G6F	336.87	222.08	104.57	101.77	229.3	228.93	198.61	171.29	116.27	145.97	52.45	102.68	270.34	182.15	194.64	104.78	182.16	368.39	164.12	418.31	100.83	562.32	365.46	212.01	211.76	299.41	311.03	56.34	159.14	447.07	86.95	288.74
LY6G6F-LY6G6D	351.4	256.52	121.38	128.59	249.58	233.97	219.39	192.18	124.01	191.54	65.67	109.33	309.42	206.45	207.72	120.31	203.41	394.82	149.35	530.12	122.72	577.02	393.94	231.39	253.03	359.37	438.18	67.28	209.91	517.57	83.96	288.96
LY6G6D	310.64	241.16	126.78	139.68	232.93	224.2	201.6	197.64	112.55	203.6	75.88	97.47	291.52	207.89	205.7	121.42	203.32	413.75	135.11	523.37	125.56	580.31	385.96	180.05	317.29	360.72	490.27	66.99	233.09	527.07	93.27	261.97
MPIG6B	398.46	299.32	153.43	152.73	298.43	306.63	266.63	257.79	157.4	225.17	76.44	130.18	333.27	236.45	275.14	144.16	199.05	415.33	114.6	658.28	112.19	655.13	505.58	227.69	332.93	403.6	452.53	64.37	222.39	633.11	86.3	304.82
